epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,693.262,1.74729,2.40288,1.56423,0.35983,0.28816,0.21757,0.09544,1.88932,1.78236,1.74191,0.000416484,0.000416484,0.000416484
2,1741.69,1.66972,1.78551,1.52687,0.30826,0.28437,0.21501,0.09091,1.95815,1.77615,1.78902,0.000824903,0.000824903,0.000824903
3,2422.05,1.64666,1.7345,1.51387,0.29004,0.30972,0.19307,0.0834,1.89431,1.87117,1.74674,0.00122507,0.00122507,0.00122507
4,3069.66,1.6094,1.65127,1.48545,0.28335,0.3538,0.22728,0.10067,1.87845,1.72319,1.71493,0.00121287,0.00121287,0.00121287
5,4423.27,1.59107,1.62972,1.47197,0.31417,0.31623,0.21735,0.09619,1.84227,1.75842,1.72893,0.0012005,0.0012005,0.0012005
6,5033.32,1.5626,1.55961,1.45166,0.3166,0.36913,0.24475,0.11361,1.79292,1.65941,1.64456,0.00118812,0.00118812,0.00118812
7,5748.79,1.55439,1.50512,1.43466,0.33478,0.36242,0.25846,0.11925,1.78733,1.63539,1.64732,0.00117575,0.00117575,0.00117575
8,6950.2,1.54765,1.50716,1.43743,0.38923,0.36715,0.2752,0.12579,1.83195,1.63388,1.74032,0.00116337,0.00116337,0.00116337
9,7676.57,1.52547,1.46429,1.42185,0.32574,0.34813,0.24834,0.10872,1.87426,1.69543,1.75232,0.001151,0.001151,0.001151
10,8308.8,1.50746,1.44524,1.41442,0.34226,0.40562,0.26905,0.12188,1.82284,1.62834,1.69236,0.00113863,0.00113863,0.00113863
11,9037.12,1.51232,1.4323,1.41157,0.40351,0.39192,0.29037,0.13498,1.79573,1.52786,1.67891,0.00112625,0.00112625,0.00112625
12,9769.14,1.48996,1.38555,1.38884,0.37913,0.39204,0.30314,0.13818,1.82186,1.52947,1.69849,0.00111388,0.00111388,0.00111388
13,10422,1.48028,1.35002,1.38243,0.37025,0.39525,0.29563,0.13796,1.755,1.53759,1.6103,0.0011015,0.0011015,0.0011015
